@timestamp,integration_latency
2025-12-04 15:19:17.400,1719
2025-12-04 15:19:17.336,1724
2025-12-04 15:19:09.843,2679
2025-12-04 15:19:09.731,3223
2025-12-04 15:17:49.727,5419
2025-12-04 15:17:48.916,6108
2025-12-04 15:17:45.690,6954
2025-12-04 15:17:43.570,4348
2025-12-04 15:17:32.527,1589
2025-12-04 15:17:30.889,2929
2025-12-04 15:17:30.378,1864
2025-12-04 15:16:07.062,5797
2025-12-04 15:16:03.395,6925
2025-12-04 15:15:27.375,2878
2025-12-04 15:15:25.889,3006
2025-12-04 15:15:10.270,4438
2025-12-04 15:15:09.212,4468
2025-12-04 15:15:03.399,1890
2025-12-04 15:15:02.710,2345
2025-12-04 15:14:19.934,5430
2025-12-04 15:14:15.497,5750
2025-12-04 15:14:09.046,952
2025-12-04 15:14:07.508,2135
2025-12-04 15:14:05.698,847
2025-12-04 15:14:05.166,1990
2025-12-04 15:13:54.680,1616
2025-12-04 15:13:52.870,1580
2025-12-04 15:13:21.678,6576
2025-12-04 15:13:20.621,4926
2025-12-04 15:11:55.826,2340
2025-12-04 15:11:54.953,2368
2025-12-04 15:10:13.201,1334
2025-12-04 15:10:11.060,1273
2025-12-04 15:09:59.225,4360
2025-12-04 15:09:55.033,4141
2025-12-04 15:09:04.581,1556
2025-12-04 15:09:01.701,4012
2025-12-04 15:08:59.853,6857
2025-12-04 15:08:24.496,1735
2025-12-04 15:07:29.855,3824
2025-12-04 15:07:29.224,3757
2025-12-04 15:06:50.330,2317
2025-12-04 15:06:47.629,2094
2025-12-04 15:06:44.201,4547
2025-12-04 15:06:44.065,2324
2025-12-04 15:06:41.403,3875
2025-12-04 15:06:40.928,1806
2025-12-04 15:06:17.830,1084
2025-12-04 15:06:15.502,1201
2025-12-04 15:05:59.813,1410
2025-12-04 15:05:47.178,2105
2025-12-04 15:05:45.704,2768
2025-12-04 15:05:04.097,2736
2025-12-04 15:05:02.063,2233
2025-12-04 15:03:04.437,1662
2025-12-04 15:02:30.146,1664
2025-12-04 15:02:26.745,1866
2025-12-04 15:02:24.118,4749
2025-12-04 15:02:22.734,2191
2025-12-04 15:02:21.837,5971
2025-12-04 15:02:20.327,1944
2025-12-04 15:01:58.944,8233
2025-12-04 15:01:56.518,9347
2025-12-04 15:01:26.803,1883
2025-12-04 15:01:26.142,1732
2025-12-04 15:01:03.701,2540
2025-12-04 15:01:03.212,3039
2025-12-04 15:00:45.176,1071
2025-12-04 15:00:33.192,1598
2025-12-04 14:59:46.505,2130
2025-12-04 14:59:45.656,2714
2025-12-04 14:59:40.375,1138
2025-12-04 14:59:38.429,1377
2025-12-04 14:58:32.037,2781
2025-12-04 14:58:31.750,1893
